City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
446,Chancay,PE,294.81,overcast clouds,-11.5714,-77.2672,Hotel Madre Perla
447,Batticaloa,LK,298.96,clear sky,7.7102,81.6924,Grand Star Guest House
448,Madimba,TZ,297.4,scattered clouds,-10.4,40.3333,
449,Takoradi,GH,299.93,overcast clouds,4.8845,-1.7554,Raybow International Hotel
451,Soyo,AO,299.89,overcast clouds,-6.1349,12.3689,Hotel Mpampa
452,Mount Gambier,AU,293.1,broken clouds,-37.8333,140.7667,The Commodore
454,Ambovombe,MG,296.04,moderate rain,-25.1667,46.0833,RELAHARA
455,Sao Paulo De Olivenca,BR,295.59,overcast clouds,-3.3783,-68.8725,
456,Saint-Joseph,RE,298.36,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
461,Tomatlan,MX,297.54,clear sky,19.9333,-105.25,El Salvial
467,Terra Santa,BR,297.56,overcast clouds,-2.1042,-56.4869,Hotel Sarah
468,Capitan Bado,PY,292.66,clear sky,-23.2667,-55.5333,Hotel Suiza
469,Cockburn Town,TC,297.98,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
473,Palembang,ID,298.2,haze,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
475,Tinsukia,IN,294.07,clear sky,27.5,95.3667,Hotel Ballerina
476,Santa Rosalia,MX,296.16,scattered clouds,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
480,Srandakan,ID,299.94,broken clouds,-7.9386,110.2506,Puri Brata
482,Luzilandia,BR,297.15,moderate rain,-3.4578,-42.3703,Pousada Pontes
484,Itaituba,BR,297.0,overcast clouds,-4.2761,-55.9836,Hotel Campos
487,Boende,CD,294.66,light rain,-0.2167,20.8667,
488,Saint-Georges,GD,299.97,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
492,Broken Hill,AU,296.99,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
494,Alta Floresta,BR,295.93,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
495,Barra Patuca,HN,297.43,few clouds,15.8,-84.2833,
503,Bama,NG,295.7,broken clouds,11.5221,13.6856,UN Humanitarian Hub
504,Sur,OM,299.22,clear sky,22.5667,59.5289,Sur Plaza Hotel
511,Dana Point,US,293.34,clear sky,33.467,-117.6981,Laguna Cliffs Marriott Resort & Spa
513,Muisne,EC,298.84,overcast clouds,0.6,-80.0333,Quinta Samay
517,Eureka,US,291.04,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
521,Lambarene,GA,298.19,light rain,-0.7001,10.2406,Le Refuge
522,Itoman,JP,291.16,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
523,Lunglei,IN,290.4,overcast clouds,22.8833,92.7333,Hotel Elite
524,Menongue,AO,290.48,overcast clouds,-14.6585,17.691,Ritz Lauca
526,Acari,PE,295.98,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
527,Bousso,TD,299.73,clear sky,10.4795,16.7117,
528,Quelimane,MZ,299.12,few clouds,-17.8786,36.8883,Hotel Flamingo
529,Sabha,LY,290.68,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
534,Tura,IN,295.89,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
535,Angoche,MZ,298.31,overcast clouds,-16.2325,39.9086,Guest House HESADA
536,Cody,US,292.27,clear sky,44.5263,-109.0565,"Holiday Inn Cody-at Buffalo Bill Village, an IHG Hotel"
538,Dong Hoi,VN,294.3,overcast clouds,17.4833,106.6,Nam Long Hotel
539,Doka,SD,299.04,clear sky,13.5167,35.7667,Um Rakuba Refugee Camp
541,La Libertad,EC,298.77,overcast clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
543,El Salto,MX,292.92,clear sky,20.3333,-104.5,ramirez
544,Wad Madani,SD,297.65,clear sky,14.4012,33.5199,فندق يوغسلافيا
559,Sao Joao Da Barra,BR,298.21,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
561,Caibarien,CU,294.77,clear sky,22.5206,-79.4669,La Nena
562,Ilo,PE,293.78,scattered clouds,-17.6394,-71.3375,Torreblanca Hotel
563,Nhamunda,BR,297.63,overcast clouds,-2.1861,-56.7131,Pousada Da Praia
564,Hobyo,SO,299.35,broken clouds,5.3505,48.5268,Iftin hotel hobyo
566,Miri,MY,297.23,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
567,Atar,MR,296.05,overcast clouds,20.5169,-13.0499,Oumou Elghoura
568,Gamba,GA,297.85,heavy intensity rain,-2.65,10.0,
577,Okato,NZ,293.66,clear sky,-39.2,173.8833,Stony River House
578,Mayumba,GA,299.21,light rain,-3.432,10.6554,LIKWALE LODGE
581,Tutoia,BR,298.54,heavy intensity rain,-2.7619,-42.2744,Pousada Guará's
584,Hualmay,PE,295.03,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
588,Kassala,SD,295.11,clear sky,15.451,36.4,Amassi Hotel Gash
590,Malpe,IN,298.76,broken clouds,13.35,74.7167,Hotel Sri Krishna Residency
591,Puerto Rico,AR,290.41,clear sky,-26.796,-55.024,Hotel Cabañas del Prado
594,Taltal,CL,293.41,clear sky,-25.4,-70.4833,Residencial Karime
595,Altamira,BR,296.53,light rain,-3.2033,-52.2064,Requinte Hotel
597,Comodoro Rivadavia,AR,290.07,dust,-45.8667,-67.5,Austral Hotel
598,Kinablangan,PH,299.74,scattered clouds,7.6947,126.5503,Morales Eatery and Lodging House
599,Elko,US,295.16,overcast clouds,41.0002,-115.5012,
603,Upata,VE,296.61,overcast clouds,8.0086,-62.3989,Posada Villa Nela
605,Barjora,IN,297.38,clear sky,23.4333,87.2833,Damodar lodge
611,Fallon,US,297.08,broken clouds,39.4735,-118.7774,Best Western Fallon Inn & Suites
612,Pakenham,AU,298.45,moderate rain,-38.0667,145.4833,Pakenham Ranges
623,Melchor De Mencos,GT,294.5,overcast clouds,17.0686,-89.1522,Xultun Farm
629,Chhatarpur,IN,297.39,clear sky,24.9,79.6,Hotal Moti Mahal
631,Beloha,MG,295.63,overcast clouds,-25.1667,45.05,
636,Sumenep,ID,299.33,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
638,Kalmunai,LK,298.99,clear sky,7.4167,81.8167,VS Villa
639,Lakhnau,IN,294.14,haze,26.85,80.9167,C N Comforts Hotel & Dormitory
641,Celestun,MX,297.04,clear sky,20.8667,-90.4,Posada Lilia
644,Kovur,IN,297.23,clear sky,14.4833,79.9833,Hotel Yesh Park
650,Praia,CV,294.45,few clouds,14.9215,-23.5087,LT Aparthotel
652,Richards Bay,ZA,294.02,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
653,Sambava,MG,297.23,overcast clouds,-14.2667,50.1667,Melrose
658,Qandala,SO,297.91,clear sky,11.472,49.8728,
659,Vao,NC,298.18,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
660,Rafaela,AR,293.71,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
662,Kitui,KE,290.93,broken clouds,-1.367,38.0106,Heritage Bliss Hotel
665,Robertsport,LR,299.71,scattered clouds,6.7533,-11.3686,Kwepunha Retreat
669,Oistins,BB,298.32,overcast clouds,13.0667,-59.5333,Butterfly Beach Hotel
673,Houma,US,294.82,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
674,Lima,PE,294.29,clear sky,-12.0432,-77.0282,Hotel Kamana
676,Montrose,US,290.82,overcast clouds,38.4166,-108.2673,
677,Bintulu,MY,297.38,few clouds,3.1667,113.0333,900 Boutique INN
679,Mpulungu,ZM,295.14,overcast clouds,-8.7623,31.1141,Chela moche guest house
687,Santa Cruz De La Palma,ES,291.23,few clouds,28.6835,-17.7642,H10 Taburiente Playa
688,Pala,TD,298.37,few clouds,9.3642,14.9046,Nectar Hôtel de Pala
690,Los Alamos,US,294.98,clear sky,35.8881,-106.307,"Holiday Inn Express & Suites Los Alamos Entrada Park, an IHG Hotel"
692,Tecoanapa,MX,299.38,overcast clouds,16.5167,-98.75,Hotel Manglares
695,Santa Maria,BR,290.76,clear sky,-29.6842,-53.8069,Hotel Morotin
698,Jerez,GT,294.45,scattered clouds,14.1,-89.75,Auto hotel Esmeralda
