City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Description
236,College,US,64.8569,-147.8028,278.12,55,40,scattered clouds
237,Kulhudhuffushi,MV,6.6221,73.07,301.08,67,22,few clouds
238,San Jose,US,37.3394,-121.895,292.91,56,75,broken clouds
239,Didi Lilo,GE,41.7361,44.9647,274.03,75,0,clear sky
240,Leiyang,CN,26.4024,112.8591,286.23,84,97,overcast clouds
241,Panaba,MX,21.2833,-88.2667,296.05,57,0,clear sky
242,Hit,IQ,33.6416,42.8251,283.63,54,0,clear sky
243,Rantepao,ID,-2.9701,119.8978,298.65,61,56,broken clouds
244,Kavaratti,IN,10.5669,72.642,301.29,75,55,broken clouds
245,Port Elizabeth,ZA,-33.918,25.5701,291.54,97,0,clear sky
246,Margate,GB,51.3813,1.3862,281.1,91,0,clear sky
247,Mahebourg,MU,-20.4081,57.7,297.31,94,40,scattered clouds
248,Aitape,PG,-3.1374,142.3475,303.04,67,94,overcast clouds
249,Mezen,RU,65.8522,44.24,256.18,99,54,broken clouds
250,Hamilton,US,39.1834,-84.5333,274.87,55,0,clear sky
251,Holme,DK,56.1138,10.1725,278.25,88,76,broken clouds
252,Gaoua,BF,10.2992,-3.2508,303.55,35,9,clear sky
253,Armidale,AU,-30.5167,151.65,290.26,81,88,overcast clouds
254,Buchanan,LR,5.8808,-10.0467,299.31,91,98,overcast clouds
255,Lakatoro,VU,-16.0999,167.4164,301.97,76,100,overcast clouds
256,Reyes,BO,-14.3167,-67.3833,294.65,86,97,overcast clouds
257,Labuhan,ID,-6.8844,112.2051,300.0,81,95,light rain
258,Xining,CN,36.6167,101.7667,278.3,26,58,broken clouds
259,Nalut,LY,30.3333,10.85,290.58,34,0,clear sky
260,Paamiut,GL,61.994,-49.6678,269.1,83,69,broken clouds
261,San Carlos De Bariloche,AR,-41.1456,-71.3082,282.01,53,40,scattered clouds
262,Gotha,DE,50.9482,10.7019,281.62,82,0,clear sky
